id;name;category;brand;saleFormat;installmentsNoInterest;flashOffer;price;oldPrice;offPct;freeShip;image;featured;description;stock
01.0002;"BASCULANTE ALUM BRANCO 40X60";"ALUMINIO";"";"Unidade";false;false;101.07;;;false;"/assets/produtos/01.0002.jpg";false;"Produto sem descrição.";0
01.0003;"KIT ARM MGM LIRIO BCO 59 CM";"ARMARIOS";"";"Unidade";false;false;299;;;false;"/assets/produtos/01.0003.png";false;"Produto sem descrição.";0
01.0005;"BASCULANTE ALUM BRANCO 50X50";"ALUMINIO";"";"Unidade";false;false;102.27;;;false;"/assets/produtos/01.0005.jpg";false;"Produto sem descrição.";0
01.0006;"ARMARIO RORATO AEREO BCO 3 PORTAS 1,06 MT";"ARMARIOS";"";"Unidade";false;false;349;;;false;"/assets/produtos/01.0006.jpg";false;"Produto sem descrição.";3
01.0007;"BASCULANTE ALUM BRANCO 60X40";"ALUMINIO";"";"Unidade";false;false;113.1;;;false;"/assets/produtos/01.0007.jpg";false;"Produto sem descrição.";0
01.0008;"PORTA CORTINA BOX 1,20X1,33";"UTILIDADES DO LAR";"";"Unidade";false;false;31.59;;;false;"/assets/produtos/01.0008.png";false;"Produto sem descrição.";4
01.0009;"BAUTECH RODAPE 12 KG";"ADESIVOS";"";"Unidade";false;false;359.84;;;false;"/assets/produtos/01.0009.jpg";false;"Produto sem descrição.";0
803195;"MARTELETE ROTATIVO MAKITA 127V M8700G";"FERRAMENTAS";"";"Unidade";false;true;1011.3;1348.4;25;false;"/assets/no-image.jpg";false;"Produto sem descrição.";0
01.0010;"GABINETE ACONCHEGO/TOQUIO 1.2 M BC";"ARMARIOS";"";"Unidade";false;false;369;;;false;"/assets/produtos/01.0010.jpg";false;"Produto sem descrição.";1
01.0011;"TAMPO ASTRA PNE";"TAMPOS E ACESSORIOS";"";"Unidade";false;false;96.04;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";0
01.0012;"VASO JARD BADI 28 BEGE";"MATERIAIS PLASTICOS";"";"Unidade";false;false;66.54;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";0
